"","kode_provinsi","nama_provinsi","kode_kota","nama_kota"
"1",11,"ACEH",1101,"ACEH SELATAN"
"2",11,"ACEH",1102,"ACEH TENGGARA"
"3",11,"ACEH",1103,"ACEH TIMUR"
"4",11,"ACEH",1104,"ACEH TENGAH"
"5",11,"ACEH",1105,"ACEH BARAT"
"6",11,"ACEH",1106,"ACEH BESAR"
"7",11,"ACEH",1107,"PIDIE"
"8",11,"ACEH",1108,"ACEH UTARA"
"9",11,"ACEH",1109,"SIMEULUE"
"10",11,"ACEH",1110,"ACEH SINGKIL"
"11",11,"ACEH",1111,"BIREUEN"
"12",11,"ACEH",1112,"ACEH BARAT DAYA"
"13",11,"ACEH",1113,"GAYO LUES"
"14",11,"ACEH",1114,"ACEH JAYA"
"15",11,"ACEH",1115,"NAGAN RAYA"
"16",11,"ACEH",1116,"ACEH TAMIANG"
"17",11,"ACEH",1117,"BENER MERIAH"
"18",11,"ACEH",1118,"PIDIE JAYA"
"19",11,"ACEH",1171,"KOTA BANDA ACEH"
"20",11,"ACEH",1172,"KOTA SABANG"
"21",11,"ACEH",1173,"KOTA LHOKSEUMAWE"
"22",11,"ACEH",1174,"KOTA LANGSA"
"23",11,"ACEH",1175,"KOTA SUBULUSSALAM"
"24",12,"SUMATERA UTARA",1201,"TAPANULI TENGAH"
"25",12,"SUMATERA UTARA",1202,"TAPANULI UTARA"
"26",12,"SUMATERA UTARA",1203,"TAPANULI SELATAN"
"27",12,"SUMATERA UTARA",1204,"NIAS"
"28",12,"SUMATERA UTARA",1205,"LANGKAT"
"29",12,"SUMATERA UTARA",1206,"KARO"
"30",12,"SUMATERA UTARA",1207,"DELI SERDANG"
"31",12,"SUMATERA UTARA",1208,"SIMALUNGUN"
"32",12,"SUMATERA UTARA",1209,"ASAHAN"
"33",12,"SUMATERA UTARA",1210,"LABUHANBATU"
"34",12,"SUMATERA UTARA",1211,"DAIRI"
"35",12,"SUMATERA UTARA",1212,"TOBA SAMOSIR"
"36",12,"SUMATERA UTARA",1213,"MANDAILING NATAL"
"37",12,"SUMATERA UTARA",1214,"NIAS SELATAN"
"38",12,"SUMATERA UTARA",1215,"PAKPAK BHARAT"
"39",12,"SUMATERA UTARA",1216,"HUMBANG HASUNDUTAN"
"40",12,"SUMATERA UTARA",1217,"SAMOSIR"
"41",12,"SUMATERA UTARA",1218,"SERDANG BEDAGAI"
"42",12,"SUMATERA UTARA",1219,"BATU BARA"
"43",12,"SUMATERA UTARA",1220,"PADANG LAWAS UTARA"
"44",12,"SUMATERA UTARA",1221,"PADANG LAWAS"
"45",12,"SUMATERA UTARA",1222,"LABUHANBATU SELATAN"
"46",12,"SUMATERA UTARA",1223,"LABUHANBATU UTARA"
"47",12,"SUMATERA UTARA",1224,"NIAS UTARA"
"48",12,"SUMATERA UTARA",1225,"NIAS BARAT"
"49",12,"SUMATERA UTARA",1271,"KOTA MEDAN"
"50",12,"SUMATERA UTARA",1272,"KOTA PEMATANGSIANTAR"
"51",12,"SUMATERA UTARA",1273,"KOTA SIBOLGA"
"52",12,"SUMATERA UTARA",1274,"KOTA TANJUNG BALAI"
"53",12,"SUMATERA UTARA",1275,"KOTA BINJAI"
"54",12,"SUMATERA UTARA",1276,"KOTA TEBING TINGGI"
"55",12,"SUMATERA UTARA",1277,"KOTA PADANG SIDIMPUAN"
"56",12,"SUMATERA UTARA",1278,"KOTA GUNUNGSITOLI"
"57",13,"SUMATERA BARAT",1301,"PESISIR SELATAN"
"58",13,"SUMATERA BARAT",1302,"SOLOK"
"59",13,"SUMATERA BARAT",1303,"SIJUNJUNG"
"60",13,"SUMATERA BARAT",1304,"TANAH DATAR"
"61",13,"SUMATERA BARAT",1305,"PADANG PARIAMAN"
"62",13,"SUMATERA BARAT",1306,"AGAM"
"63",13,"SUMATERA BARAT",1307,"LIMA PULUH KOTA"
"64",13,"SUMATERA BARAT",1308,"PASAMAN"
"65",13,"SUMATERA BARAT",1309,"KEPULAUAN MENTAWAI"
"66",13,"SUMATERA BARAT",1310,"DHARMASRAYA"
"67",13,"SUMATERA BARAT",1311,"SOLOK SELATAN"
"68",13,"SUMATERA BARAT",1312,"PASAMAN BARAT"
"69",13,"SUMATERA BARAT",1371,"KOTA PADANG"
"70",13,"SUMATERA BARAT",1372,"KOTA SOLOK"
"71",13,"SUMATERA BARAT",1373,"KOTA SAWAHLUNTO"
"72",13,"SUMATERA BARAT",1374,"KOTA PADANG PANJANG"
"73",13,"SUMATERA BARAT",1375,"KOTA BUKITTINGGI"
"74",13,"SUMATERA BARAT",1376,"KOTA PAYAKUMBUH"
"75",13,"SUMATERA BARAT",1377,"KOTA PARIAMAN"
"76",14,"RIAU",1401,"KAMPAR"
"77",14,"RIAU",1402,"INDRAGIRI HULU"
"78",14,"RIAU",1403,"BENGKALIS"
"79",14,"RIAU",1404,"INDRAGIRI HILIR"
"80",14,"RIAU",1405,"PELALAWAN"
"81",14,"RIAU",1406,"ROKAN HULU"
"82",14,"RIAU",1407,"ROKAN HILIR"
"83",14,"RIAU",1408,"SIAK"
"84",14,"RIAU",1409,"KUANTAN SINGINGI"
"85",14,"RIAU",1410,"KEPULAUAN MERANTI"
"86",14,"RIAU",1471,"KOTA PEKANBARU"
"87",14,"RIAU",1472,"KOTA DUMAI"
"88",15,"JAMBI",1501,"KERINCI"
"89",15,"JAMBI",1502,"MERANGIN"
"90",15,"JAMBI",1503,"SAROLANGUN"
"91",15,"JAMBI",1504,"BATANGHARI"
"92",15,"JAMBI",1505,"MUARO JAMBI"
"93",15,"JAMBI",1506,"TANJUNG JABUNG BARAT"
"94",15,"JAMBI",1507,"TANJUNG JABUNG TIMUR"
"95",15,"JAMBI",1508,"BUNGO"
"96",15,"JAMBI",1509,"TEBO"
"97",15,"JAMBI",1571,"KOTA JAMBI"
"98",15,"JAMBI",1572,"KOTA SUNGAI PENUH"
"99",16,"SUMATERA SELATAN",1601,"OGAN KOMERING ULU"
"100",16,"SUMATERA SELATAN",1602,"OGAN KOMERING ILIR"
"101",16,"SUMATERA SELATAN",1603,"MUARA ENIM"
"102",16,"SUMATERA SELATAN",1604,"LAHAT"
"103",16,"SUMATERA SELATAN",1605,"MUSI RAWAS"
"104",16,"SUMATERA SELATAN",1606,"MUSI BANYUASIN"
"105",16,"SUMATERA SELATAN",1607,"BANYUASIN"
"106",16,"SUMATERA SELATAN",1608,"OGAN KOMERING ULU TIMUR"
"107",16,"SUMATERA SELATAN",1609,"OGAN KOMERING ULU SELATAN"
"108",16,"SUMATERA SELATAN",1610,"OGAN ILIR"
"109",16,"SUMATERA SELATAN",1611,"EMPAT LAWANG"
"110",16,"SUMATERA SELATAN",1612,"PENUKAL ABAB LEMATANG ILIR"
"111",16,"SUMATERA SELATAN",1613,"MUSI RAWAS UTARA"
"112",16,"SUMATERA SELATAN",1671,"KOTA PALEMBANG"
"113",16,"SUMATERA SELATAN",1672,"KOTA PAGAR ALAM"
"114",16,"SUMATERA SELATAN",1673,"KOTA LUBUKLINGGAU"
"115",16,"SUMATERA SELATAN",1674,"KOTA PRABUMULIH"
"116",17,"BENGKULU",1701,"BENGKULU SELATAN"
"117",17,"BENGKULU",1702,"REJANG LEBONG"
"118",17,"BENGKULU",1703,"BENGKULU UTARA"
"119",17,"BENGKULU",1704,"KAUR"
"120",17,"BENGKULU",1705,"SELUMA"
"121",17,"BENGKULU",1706,"MUKOMUKO"
"122",17,"BENGKULU",1707,"LEBONG"
"123",17,"BENGKULU",1708,"KEPAHIANG"
"124",17,"BENGKULU",1709,"BENGKULU TENGAH"
"125",17,"BENGKULU",1771,"KOTA BENGKULU"
"126",18,"LAMPUNG",1801,"LAMPUNG SELATAN"
"127",18,"LAMPUNG",1802,"LAMPUNG TENGAH"
"128",18,"LAMPUNG",1803,"LAMPUNG UTARA"
"129",18,"LAMPUNG",1804,"LAMPUNG BARAT"
"130",18,"LAMPUNG",1805,"TULANG BAWANG"
"131",18,"LAMPUNG",1806,"TANGGAMUS"
"132",18,"LAMPUNG",1807,"LAMPUNG TIMUR"
"133",18,"LAMPUNG",1808,"WAY KANAN"
"134",18,"LAMPUNG",1809,"PESAWARAN"
"135",18,"LAMPUNG",1810,"PRINGSEWU"
"136",18,"LAMPUNG",1811,"MESUJI"
"137",18,"LAMPUNG",1812,"TULANG BAWANG BARAT"
"138",18,"LAMPUNG",1813,"PESISIR BARAT"
"139",18,"LAMPUNG",1871,"KOTA BANDAR LAMPUNG"
"140",18,"LAMPUNG",1872,"KOTA METRO"
"141",19,"KEPULAUAN BANGKA BELITUNG",1901,"BANGKA"
"142",19,"KEPULAUAN BANGKA BELITUNG",1902,"BELITUNG"
"143",19,"KEPULAUAN BANGKA BELITUNG",1903,"BANGKA SELATAN"
"144",19,"KEPULAUAN BANGKA BELITUNG",1904,"BANGKA TENGAH"
"145",19,"KEPULAUAN BANGKA BELITUNG",1905,"BANGKA BARAT"
"146",19,"KEPULAUAN BANGKA BELITUNG",1906,"BELITUNG TIMUR"
"147",19,"KEPULAUAN BANGKA BELITUNG",1971,"KOTA PANGKALPINANG"
"148",21,"KEPULAUAN RIAU",2101,"BINTAN"
"149",21,"KEPULAUAN RIAU",2102,"KARIMUN"
"150",21,"KEPULAUAN RIAU",2103,"NATUNA"
"151",21,"KEPULAUAN RIAU",2104,"LINGGA"
"152",21,"KEPULAUAN RIAU",2105,"KEPULAUAN ANAMBAS"
"153",21,"KEPULAUAN RIAU",2171,"KOTA BATAM"
"154",21,"KEPULAUAN RIAU",2172,"KOTA TANJUNGPINANG"
"155",31,"DKI JAKARTA",3101,"KEPULAUAN SERIBU"
"156",31,"DKI JAKARTA",3171,"JAKARTA PUSAT"
"157",31,"DKI JAKARTA",3172,"JAKARTA UTARA"
"158",31,"DKI JAKARTA",3173,"JAKARTA BARAT"
"159",31,"DKI JAKARTA",3174,"JAKARTA SELATAN"
"160",31,"DKI JAKARTA",3175,"JAKARTA TIMUR"
"161",32,"JAWA BARAT",3201,"BOGOR"
"162",32,"JAWA BARAT",3202,"SUKABUMI"
"163",32,"JAWA BARAT",3203,"CIANJUR"
"164",32,"JAWA BARAT",3204,"BANDUNG"
"165",32,"JAWA BARAT",3205,"GARUT"
"166",32,"JAWA BARAT",3206,"TASIKMALAYA"
"167",32,"JAWA BARAT",3207,"CIAMIS"
"168",32,"JAWA BARAT",3208,"KUNINGAN"
"169",32,"JAWA BARAT",3209,"CIREBON"
"170",32,"JAWA BARAT",3210,"MAJALENGKA"
"171",32,"JAWA BARAT",3211,"SUMEDANG"
"172",32,"JAWA BARAT",3212,"INDRAMAYU"
"173",32,"JAWA BARAT",3213,"SUBANG"
"174",32,"JAWA BARAT",3214,"PURWAKARTA"
"175",32,"JAWA BARAT",3215,"KARAWANG"
"176",32,"JAWA BARAT",3216,"BEKASI"
"177",32,"JAWA BARAT",3217,"BANDUNG BARAT"
"178",32,"JAWA BARAT",3218,"PANGANDARAN"
"179",32,"JAWA BARAT",3271,"KOTA BOGOR"
"180",32,"JAWA BARAT",3272,"KOTA SUKABUMI"
"181",32,"JAWA BARAT",3273,"KOTA BANDUNG"
"182",32,"JAWA BARAT",3274,"KOTA CIREBON"
"183",32,"JAWA BARAT",3275,"KOTA BEKASI"
"184",32,"JAWA BARAT",3276,"KOTA DEPOK"
"185",32,"JAWA BARAT",3277,"KOTA CIMAHI"
"186",32,"JAWA BARAT",3278,"KOTA TASIKMALAYA"
"187",32,"JAWA BARAT",3279,"KOTA BANJAR"
"188",33,"JAWA TENGAH",3301,"CILACAP"
"189",33,"JAWA TENGAH",3302,"BANYUMAS"
"190",33,"JAWA TENGAH",3303,"PURBALINGGA"
"191",33,"JAWA TENGAH",3304,"BANJARNEGARA"
"192",33,"JAWA TENGAH",3305,"KEBUMEN"
"193",33,"JAWA TENGAH",3306,"PURWOREJO"
"194",33,"JAWA TENGAH",3307,"WONOSOBO"
"195",33,"JAWA TENGAH",3308,"MAGELANG"
"196",33,"JAWA TENGAH",3309,"BOYOLALI"
"197",33,"JAWA TENGAH",3310,"KLATEN"
"198",33,"JAWA TENGAH",3311,"SUKOHARJO"
"199",33,"JAWA TENGAH",3312,"WONOGIRI"
"200",33,"JAWA TENGAH",3313,"KARANGANYAR"
"201",33,"JAWA TENGAH",3314,"SRAGEN"
"202",33,"JAWA TENGAH",3315,"GROBOGAN"
"203",33,"JAWA TENGAH",3316,"BLORA"
"204",33,"JAWA TENGAH",3317,"REMBANG"
"205",33,"JAWA TENGAH",3318,"PATI"
"206",33,"JAWA TENGAH",3319,"KUDUS"
"207",33,"JAWA TENGAH",3320,"JEPARA"
"208",33,"JAWA TENGAH",3321,"DEMAK"
"209",33,"JAWA TENGAH",3322,"SEMARANG"
"210",33,"JAWA TENGAH",3323,"TEMANGGUNG"
"211",33,"JAWA TENGAH",3324,"KENDAL"
"212",33,"JAWA TENGAH",3325,"BATANG"
"213",33,"JAWA TENGAH",3326,"PEKALONGAN"
"214",33,"JAWA TENGAH",3327,"PEMALANG"
"215",33,"JAWA TENGAH",3328,"TEGAL"
"216",33,"JAWA TENGAH",3329,"BREBES"
"217",33,"JAWA TENGAH",3371,"KOTA MAGELANG"
"218",33,"JAWA TENGAH",3372,"KOTA SURAKARTA"
"219",33,"JAWA TENGAH",3373,"KOTA SALATIGA"
"220",33,"JAWA TENGAH",3374,"KOTA SEMARANG"
"221",33,"JAWA TENGAH",3375,"KOTA PEKALONGAN"
"222",33,"JAWA TENGAH",3376,"KOTA TEGAL"
"223",34,"DAERAH ISTIMEWA YOGYAKARTA",3401,"KULON PROGO"
"224",34,"DAERAH ISTIMEWA YOGYAKARTA",3402,"BANTUL"
"225",34,"DAERAH ISTIMEWA YOGYAKARTA",3403,"GUNUNGKIDUL"
"226",34,"DAERAH ISTIMEWA YOGYAKARTA",3404,"SLEMAN"
"227",34,"DAERAH ISTIMEWA YOGYAKARTA",3471,"KOTA YOGYAKARTA"
"228",35,"JAWA TIMUR",3501,"PACITAN"
"229",35,"JAWA TIMUR",3502,"PONOROGO"
"230",35,"JAWA TIMUR",3503,"TRENGGALEK"
"231",35,"JAWA TIMUR",3504,"TULUNGAGUNG"
"232",35,"JAWA TIMUR",3505,"BLITAR"
"233",35,"JAWA TIMUR",3506,"KEDIRI"
"234",35,"JAWA TIMUR",3507,"MALANG"
"235",35,"JAWA TIMUR",3508,"LUMAJANG"
"236",35,"JAWA TIMUR",3509,"JEMBER"
"237",35,"JAWA TIMUR",3510,"BANYUWANGI"
"238",35,"JAWA TIMUR",3511,"BONDOWOSO"
"239",35,"JAWA TIMUR",3512,"SITUBONDO"
"240",35,"JAWA TIMUR",3513,"PROBOLINGGO"
"241",35,"JAWA TIMUR",3514,"PASURUAN"
"242",35,"JAWA TIMUR",3515,"SIDOARJO"
"243",35,"JAWA TIMUR",3516,"MOJOKERTO"
"244",35,"JAWA TIMUR",3517,"JOMBANG"
"245",35,"JAWA TIMUR",3518,"NGANJUK"
"246",35,"JAWA TIMUR",3519,"MADIUN"
"247",35,"JAWA TIMUR",3520,"MAGETAN"
"248",35,"JAWA TIMUR",3521,"NGAWI"
"249",35,"JAWA TIMUR",3522,"BOJONEGORO"
"250",35,"JAWA TIMUR",3523,"TUBAN"
"251",35,"JAWA TIMUR",3524,"LAMONGAN"
"252",35,"JAWA TIMUR",3525,"GRESIK"
"253",35,"JAWA TIMUR",3526,"BANGKALAN"
"254",35,"JAWA TIMUR",3527,"SAMPANG"
"255",35,"JAWA TIMUR",3528,"PAMEKASAN"
"256",35,"JAWA TIMUR",3529,"SUMENEP"
"257",35,"JAWA TIMUR",3571,"KOTA KEDIRI"
"258",35,"JAWA TIMUR",3572,"KOTA BLITAR"
"259",35,"JAWA TIMUR",3573,"KOTA MALANG"
"260",35,"JAWA TIMUR",3574,"KOTA PROBOLINGGO"
"261",35,"JAWA TIMUR",3575,"KOTA PASURUAN"
"262",35,"JAWA TIMUR",3576,"KOTA MOJOKERTO"
"263",35,"JAWA TIMUR",3577,"KOTA MADIUN"
"264",35,"JAWA TIMUR",3578,"KOTA SURABAYA"
